timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684211397148,2,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-413,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,473,473,http://127.0.0.1:8866/api/hello,0,0,2
1684211397159,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-436,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,494,494,http://127.0.0.1:8866/api/hello,0,0,1
1684211397157,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-426,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,478,478,http://127.0.0.1:8866/api/hello,0,0,1
1684211397159,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-429,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,477,477,http://127.0.0.1:8866/api/hello,0,0,1
1684211397154,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-421,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,507,507,http://127.0.0.1:8866/api/hello,0,0,0
1684211397156,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-424,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,507,507,http://127.0.0.1:8866/api/hello,0,0,0
1684211397153,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-417,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,515,515,http://127.0.0.1:8866/api/hello,0,0,1
1684211397154,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-408,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,515,515,http://127.0.0.1:8866/api/hello,0,0,0
1684211397151,2,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-415,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,515,515,http://127.0.0.1:8866/api/hello,0,0,2
1684211397113,40,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-403,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,515,515,http://127.0.0.1:8866/api/hello,0,0,40
1684211397151,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-416,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,515,515,http://127.0.0.1:8866/api/hello,0,0,1
1684211397152,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-414,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,515,515,http://127.0.0.1:8866/api/hello,0,0,1
1684211397151,1,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-418,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,520,520,http://127.0.0.1:8866/api/hello,0,0,1
1684211397145,6,HTTP请求,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8866 [/127.0.0.1] failed: Connection refused: connect,线程组 1-411,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.conn.HttpHostConnectException]]]

****** comparison: [[[200                                                                  ]]]

/",2595,0,520,520,http://127.0.0.1:8866/api/hello,0,0,6
